,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
admiration,1.0,-0.034572566687067874,-0.0929433347282435,-0.11175322960436629,0.017331507376847233,-0.03373083489213984,-0.07231930324462293,-0.06695260367338442,-0.014798713762692279,-0.07841291874555516,-0.10385042911370757,-0.06299938939826882,-0.04136306032487548,0.05684040118289073,-0.043411726198881034,0.051155993059485136,-0.015254651987452909,0.05208109408253579,0.06170250037814032,-0.03746237077915392,-0.006186607249559508,0.08067652974287866,-0.05709460981087308,-0.00872296097198075,-0.04334779184709457,-0.07340923022709227,-0.013164581636042614,-0.2455076991669369
amusement,-0.034572566687067874,1.0,-0.048111840266295655,-0.04774004653495123,-0.03863249073401493,-0.045143062713288606,-0.03414416018297859,-0.03689314085222093,-0.02686714444136846,-0.05185124754797103,-0.053359497343732964,-0.03436729468687176,-0.009751206936232918,-0.00037729796863477457,-0.028143698009082254,-0.028457435612897576,-0.013434822353820337,0.0777299453406844,-0.020437800674614044,-0.025279077124505077,-0.028961887886695143,-0.018063517143182356,-0.017368360157283425,-0.014250529638599688,-0.022949403002545693,-0.03822336161960547,-0.022304651213969472,-0.16252469166931396
anger,-0.0929433347282435,-0.048111840266295655,1.0,0.2459479550024531,-0.08351173092504355,-0.03839671564317994,-0.032451099465857614,-0.04449972692339378,-0.0346853074256066,0.0225730409211097,0.01987089758656063,0.12925605218769132,0.012449398353155153,-0.050267688615114506,-0.008474944406955384,-0.065917054603964,0.000438558168560145,-0.06523563328080098,-0.05544508974226597,-0.008259799450778128,-0.058390778774139215,-0.024678944315153953,-0.04602910229978735,-0.02309678378690307,-0.021724345831536658,-0.022473922989485202,-0.02549040547132871,-0.12227595601263093
annoyance,-0.11175322960436629,-0.04774004653495123,0.2459479550024531,1.0,-0.07878179519321306,-0.0450026801152301,-0.031239318907319083,-0.03732175995397911,-0.03416571297043182,0.0689173174079791,0.09665495017982648,0.13055425851442626,0.031313199500382576,-0.06333059582276275,-0.012951165908114315,-0.08048231080944684,0.00013350398682050868,-0.08391387989911185,-0.0739217783915566,-0.0025561038320816997,-0.05814918294418228,-0.02703699305131533,-0.02496590564633242,-0.024312586402720097,-0.01926027488808508,-0.01650139204711578,-0.03433637214566931,-0.15125334892932563
approval,0.017331507376847233,-0.03863249073401493,-0.08351173092504355,-0.07878179519321306,1.0,0.023020397037735153,-0.06111808092144785,-0.0750941534305715,-0.009820721812145581,-0.06036608140998582,-0.06769925111020378,-0.04878744666218951,-0.04008493958626844,-0.020524278558520768,-0.03801245496787416,-0.03561104105368645,-0.0253985413133984,-0.014185771727279601,-0.027005672871712422,-0.03224911314162842,0.028018283624270467,0.006503098309638816,0.041101392586618844,0.01285810888957858,-0.029169779490091193,-0.060617147371960764,-0.05202608298098978,-0.13792850958041142
caring,-0.03373083489213984,-0.045143062713288606,-0.03839671564317994,-0.0450026801152301,0.023020397037735153,1.0,-0.04800505831267251,-0.04154108361944836,0.013965111902015461,-0.02719757009747229,-0.03125329431609498,-0.0370603506462059,-0.013839536485173679,-0.02901488836997219,-0.008465534311058757,-0.011391604261795177,0.002417842714899871,-0.002774888706405219,0.006581843046184894,0.006868478264648826,0.09145383162718103,0.0027763041174068675,-0.02122517688814617,0.026395918857039263,0.015329895996610006,0.011939048153766,-0.03847245109463519,-0.09900731888944153
confusion,-0.07231930324462293,-0.03414416018297859,-0.032451099465857614,-0.031239318907319083,-0.06111808092144785,-0.04800505831267251,1.0,0.1776964655051699,-0.033197963279649835,-0.027607671570705417,-0.014538892771820303,-0.028123132930835276,-0.008647053181587807,-0.04084610447967491,-0.014419383839636393,-0.048681053003366455,-0.010872006927301303,-0.058720396452175666,-0.04882320835039007,-0.003672513965143501,-0.042322565982247776,-0.021604411693077485,-0.0026665671175915753,-0.022732187146157507,-0.010960542060433915,-0.04299567678857102,0.010076970981434077,-0.09152411631581113
curiosity,-0.06695260367338442,-0.03689314085222093,-0.04449972692339378,-0.03732175995397911,-0.0750941534305715,-0.04154108361944836,0.1776964655051699,1.0,-0.00673111612043202,-0.04646371790580351,-0.04823517242452349,-0.03367595355604439,-0.009252262416691978,-0.01242128098310038,-0.025738706441805894,-0.056321389107509466,-0.013881971363817127,-0.05424187525249686,-0.04734450096353363,-0.01391388065362449,-0.03872572109363449,-0.02006334762819879,-0.014721457654040029,-0.02562965283131448,-0.014961603751574548,-0.038804243850676046,0.04100253437107221,-0.11618581573486284
desire,-0.014798713762692279,-0.02686714444136846,-0.0346853074256066,-0.03416571297043182,-0.009820721812145581,0.013965111902015461,-0.033197963279649835,-0.00673111612043202,1.0,-0.016972945097184552,-0.03473267449959624,-0.02701050718157866,-0.020897936889918263,0.005258758783806575,-0.01945715174628709,-0.01534573212676283,-0.005996236216900094,-0.003547411243599627,0.01592291851859414,-0.011300247776623598,0.1279553128399025,-0.001291212537742354,-0.014006373922964385,-0.012540046888648989,-0.012572480028753816,-0.0185181428491436,-0.026067184942512287,-0.0849518789746312
disappointment,-0.07841291874555516,-0.05185124754797103,0.0225730409211097,0.0689173174079791,-0.06036608140998582,-0.02719757009747229,-0.027607671570705417,-0.04646371790580351,-0.016972945097184552,1.0,0.04397070718237707,0.044202154379728124,0.06063516731883113,-0.05044005436436449,0.011764731997633313,-0.0628452696791194,0.033122851488048374,-0.05548963999844604,-0.05143380999727584,0.053231801366252496,-0.03550692002220179,-0.017108679354879707,0.00952098258640217,-0.01721246300311169,0.03628972431890221,0.212540318656757,-0.018121762709719828,-0.12492140488403555
