,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
admiration,1.0,-0.0345725666870678,-0.0929433347282435,-0.1117532296043662,0.0173315073768472,-0.0337308348921398,-0.0723193032446229,-0.0669526036733844,-0.0147987137626922,-0.0784129187455551,-0.1038504291137075,-0.0629993893982688,-0.0413630603248754,0.0568404011828907,-0.043411726198881,0.0511559930594851,-0.0152546519874529,0.0520810940825357,0.0617025003781403,-0.0374623707791539,-0.0061866072495595,0.0806765297428786,-0.057094609810873,-0.0087229609719807,-0.0433477918470945,-0.0734092302270922,-0.0131645816360426,0
amusement,-0.0345725666870678,1.0,-0.0481118402662956,-0.0477400465349512,-0.0386324907340149,-0.0451430627132886,-0.0341441601829785,-0.0368931408522209,-0.0268671444413684,-0.051851247547971,-0.0533594973437329,-0.0343672946868717,-0.0097512069362329,-0.0003772979686347,-0.0281436980090822,-0.0284574356128975,-0.0134348223538203,0.0777299453406844,-0.020437800674614,-0.025279077124505,-0.0289618878866951,-0.0180635171431823,-0.0173683601572834,-0.0142505296385996,-0.0229494030025456,-0.0382233616196054,-0.0223046512139694,0
anger,-0.0929433347282435,-0.0481118402662956,1.0,0.2459479550024531,-0.0835117309250435,-0.0383967156431799,-0.0324510994658576,-0.0444997269233937,-0.0346853074256066,0.0225730409211097,0.0198708975865606,0.1292560521876913,0.0124493983531551,-0.0502676886151145,-0.0084749444069553,-0.065917054603964,0.0004385581685601,-0.0652356332808009,-0.0554450897422659,-0.0082597994507781,-0.0583907787741392,-0.0246789443151539,-0.0460291022997873,-0.023096783786903,-0.0217243458315366,-0.0224739229894852,-0.0254904054713287,0
annoyance,-0.1117532296043662,-0.0477400465349512,0.2459479550024531,1.0,-0.078781795193213,-0.0450026801152301,-0.031239318907319,-0.0373217599539791,-0.0341657129704318,0.0689173174079791,0.0966549501798264,0.1305542585144262,0.0313131995003825,-0.0633305958227627,-0.0129511659081143,-0.0804823108094468,0.0001335039868205,-0.0839138798991118,-0.0739217783915566,-0.0025561038320816,-0.0581491829441822,-0.0270369930513153,-0.0249659056463324,-0.02431258640272,-0.019260274888085,-0.0165013920471157,-0.0343363721456693,0
approval,0.0173315073768472,-0.0386324907340149,-0.0835117309250435,-0.078781795193213,1.0,0.0230203970377351,-0.0611180809214478,-0.0750941534305715,-0.0098207218121455,-0.0603660814099858,-0.0676992511102037,-0.0487874466621895,-0.0400849395862684,-0.0205242785585207,-0.0380124549678741,-0.0356110410536864,-0.0253985413133984,-0.0141857717272796,-0.0270056728717124,-0.0322491131416284,0.0280182836242704,0.0065030983096388,0.0411013925866188,0.0128581088895785,-0.0291697794900911,-0.0606171473719607,-0.0520260829809897,0
caring,-0.0337308348921398,-0.0451430627132886,-0.0383967156431799,-0.0450026801152301,0.0230203970377351,1.0,-0.0480050583126725,-0.0415410836194483,0.0139651119020154,-0.0271975700974722,-0.0312532943160949,-0.0370603506462059,-0.0138395364851736,-0.0290148883699721,-0.0084655343110587,-0.0113916042617951,0.0024178427148998,-0.0027748887064052,0.0065818430461848,0.0068684782646488,0.091453831627181,0.0027763041174068,-0.0212251768881461,0.0263959188570392,0.01532989599661,0.011939048153766,-0.0384724510946351,0
confusion,-0.0723193032446229,-0.0341441601829785,-0.0324510994658576,-0.031239318907319,-0.0611180809214478,-0.0480050583126725,1.0,0.1776964655051699,-0.0331979632796498,-0.0276076715707054,-0.0145388927718203,-0.0281231329308352,-0.0086470531815878,-0.0408461044796749,-0.0144193838396363,-0.0486810530033664,-0.0108720069273013,-0.0587203964521756,-0.04882320835039,-0.0036725139651435,-0.0423225659822477,-0.0216044116930774,-0.0026665671175915,-0.0227321871461575,-0.0109605420604339,-0.042995676788571,0.010076970981434,0
curiosity,-0.0669526036733844,-0.0368931408522209,-0.0444997269233937,-0.0373217599539791,-0.0750941534305715,-0.0415410836194483,0.1776964655051699,1.0,-0.006731116120432,-0.0464637179058035,-0.0482351724245234,-0.0336759535560443,-0.0092522624166919,-0.0124212809831003,-0.0257387064418058,-0.0563213891075094,-0.0138819713638171,-0.0542418752524968,-0.0473445009635336,-0.0139138806536244,-0.0387257210936344,-0.0200633476281987,-0.01472145765404,-0.0256296528313144,-0.0149616037515745,-0.038804243850676,0.0410025343710722,0
desire,-0.0147987137626922,-0.0268671444413684,-0.0346853074256066,-0.0341657129704318,-0.0098207218121455,0.0139651119020154,-0.0331979632796498,-0.006731116120432,1.0,-0.0169729450971845,-0.0347326744995962,-0.0270105071815786,-0.0208979368899182,0.0052587587838065,-0.019457151746287,-0.0153457321267628,-0.0059962362169,-0.0035474112435996,0.0159229185185941,-0.0113002477766235,0.1279553128399025,-0.0012912125377423,-0.0140063739229643,-0.0125400468886489,-0.0125724800287538,-0.0185181428491436,-0.0260671849425122,0
disappointment,-0.0784129187455551,-0.051851247547971,0.0225730409211097,0.0689173174079791,-0.0603660814099858,-0.0271975700974722,-0.0276076715707054,-0.0464637179058035,-0.0169729450971845,1.0,0.043970707182377,0.0442021543797281,0.0606351673188311,-0.0504400543643644,0.0117647319976333,-0.0628452696791194,0.0331228514880483,-0.055489639998446,-0.0514338099972758,0.0532318013662524,-0.0355069200222017,-0.0171086793548797,0.0095209825864021,-0.0172124630031116,0.0362897243189022,0.212540318656757,-0.0181217627097198,0
